ID32,uTuID,strID,strName,lDPUID,iNoInDPU,fVal,iUnit,tSnapTime,iQuality,iIndex,FormulaID32,iZfID,iType,iDataType,fRaw,fCoeff,fOffset,lFlag,fLowL,fHighL,fLowL2,fHighL2,fDeadSec,fValidLL,fValidHL,fDayMaxV,fDayMinV,fDayAveV,tDayMaxTime,tDayMinTime,iAlmClass,iAlmClass2,dvtype,dvno,lDynaFlag,iSavePeriod
1,1,AVC远方计划值(关联遥调),AVC算法使用,40,459,38.299999,6,2015-7-18 15:16:0,0,1,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
2,1,1#B逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,2,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
3,1,1#c逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,3,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
4,1,1#D逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,4,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
5,1,2#A逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,5,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
6,1,2#B逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,6,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
7,1,2#c逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,7,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
8,1,2#D逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,8,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
9,1,3#A逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,9,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
10,1,3#B逆变器无功,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,10,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
11,1,1区1号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,11,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
12,1,1区2号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,12,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
13,1,1区3号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,13,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
14,1,1区4号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,14,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
15,1,2区1号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,15,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
16,1,2区2号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,16,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
17,1,2区3号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,17,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
18,1,2区4号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,18,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
19,1,3区1号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,19,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
20,1,3区2号逆变器无功限值目标值,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,20,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
21,1,逆变器无功上限,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,21,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
22,1,逆变器无功下限,AVC算法使用,40,459,0.000000,3,2015-7-18 15:16:0,0,22,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-1058.992310,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
23,2,IO11WWQQ_AI9,馈线备用,1,16398,0.000000,0,2015-7-18 15:16:0,0,23,0,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,994.994934,-999.206543,-297.763763,2015-7-16 17:51:0,2015-7-16 18:30:0,7,6,0,0,256,1
24,2,IO11WWQQ_AI10,馈线3A相电流,1,16399,0.000000,0,2015-7-18 15:16:0,0,24,0,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,-994.262512,-20.723387,2015-7-16 18:29:0,2015-7-16 18:30:0,7,6,0,0,256,1
25,2,IO11WWQQ_AI11,馈线4A相电流,1,16400,0.000000,0,2015-7-18 15:16:0,0,25,0,0,0,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,999.755859,-999.816895,180.334290,2015-7-16 18:28:0,2015-7-16 18:19:0,7,6,0,0,256,1
26,2,IO11WWQQ_AI12,馈线备用,1,16401,0.000000,0,2015-7-18 15:16:0,0,26,0,0,4,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1218175.375000,-1218394.750000,6007.022461,2015-7-15 21:38:0,2015-7-15 21:40:0,7,6,0,0,256,1
27,2,IO11WWQQ_AI13,馈线备用,1,16402,0.000000,0,2015-7-18 15:16:0,0,27,0,0,0,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1218394.750000,-1218394.750000,-28608.857422,2015-7-15 19:25:0,2015-7-15 19:37:0,7,6,0,0,256,1
28,2,IO11WWQQ_AI14,馈线备用,1,16403,0.000000,0,2015-7-18 15:16:0,0,28,0,0,0,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,997.558533,-995.971558,154.223618,2015-7-16 18:23:0,2015-7-16 18:21:0,7,6,0,0,256,1
29,2,IO41AQ1_AI1,馈线备用,1,16404,0.000000,0,2015-7-18 15:16:0,0,29,0,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,998.901306,-999.145508,-55.327763,2015-7-16 18:21:0,2015-7-16 18:4:0,7,6,0,0,0,1
30,2,IO41AQ1_AI2,馈线5有功,1,16405,0.000000,2,2015-7-18 15:16:0,0,30,6,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,996.276733,-998.474060,209.403214,2015-7-16 18:19:0,2015-7-16 18:31:0,7,6,0,0,0,1
31,2,IO41AQ1_AI3,馈线6有功,1,16406,20.500000,2,2015-7-18 15:16:0,0,31,6,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,995.483276,-996.948120,-63.452015,2015-7-16 18:31:0,2015-7-16 18:29:0,7,6,0,0,0,1
32,2,IO41AQ1_AI4,馈线备用,1,16407,0.000000,0,2015-7-18 15:16:0,0,32,0,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,-999.023438,-228.893768,2015-7-16 18:21:0,2015-7-16 18:29:0,7,6,0,0,0,1
33,2,IO41AQ1_AI5,馈线备用,1,16408,0.000000,0,2015-7-18 15:16:0,0,33,0,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,999.450684,-998.596130,-15.351660,2015-7-16 18:28:0,2015-7-16 17:50:0,7,6,0,0,0,1
34,2,IO41AQ1_AI6,馈线5A相电流,1,16409,0.000000,0,2015-7-18 15:16:0,0,34,0,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,998.229919,-997.009216,-177.805069,2015-7-16 17:23:0,2015-7-16 18:30:0,7,6,0,0,0,1
35,2,IO41AQ1_AI7,馈线6A相电流,1,16410,0.000000,0,2015-7-18 15:16:0,0,35,0,0,2,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,999.938965,-997.070251,-43.033295,2015-7-16 18:31:0,2015-7-16 18:30:0,7,6,0,0,0,1
36,2,IO41AQ1_AI8,馈线备用,1,16411,0.000000,0,2015-7-18 15:16:0,0,36,0,0,0,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,995.971558,-998.046814,204.404221,2015-7-16 18:4:0,2015-7-16 18:31:0,7,6,0,0,0,1
37,2,I22XXSS_AI1,馈线备用,1,16412,0.000000,0,2015-7-18 15:16:0,0,37,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,15408.794922,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
38,2,I22XXSS_AI1,馈线备用,1,16413,0.000000,0,2015-7-18 15:16:0,0,38,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-49388.105469,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
39,2,I22XXSS_AI1,馈线备用,1,16414,0.000000,2,2015-7-18 15:16:0,0,39,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-28177.740234,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
40,2,I22XXSS_AI1,馈线7有功,1,16415,0.000000,2,2015-7-18 15:16:0,0,40,7,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-68865.015625,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
41,2,I22XXSS_AI1,馈线8有功,1,16416,0.000000,2,2015-7-18 15:16:0,0,41,7,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,-25894.955078,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
42,2,I22XXSS_AI1,馈线备用,1,16417,0.000000,0,2015-7-18 15:16:0,0,42,3,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,13241.981445,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
43,2,I22XXSS_AI1,馈线备用,1,16418,0.000000,0,2015-7-18 15:16:0,0,43,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,99414.046875,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
44,2,I22XXSS_AI1,馈线7A相电流,1,16419,0.000000,0,2015-7-18 15:16:0,0,44,0,0,1,0,0.000000,1.000000,0.000000,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117177.734375,-117177.734375,7016.205566,2015-7-16 10:45:0,2015-7-15 21:35:0,7,6,0,0,256,1
