ID32,uTuID,strID,strName,fVal,lDPUID,iNoInDPU,selecttime,exectime,fFactor,ulYCID32,iIndex,iZF,izfTuID,izfDPUID,izfNoInDPU,izfProcessID,lFlag,iDataType,iexecret
1,4,#1空调,#1空调设定温度,0,1,35,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,0,0,0,0,0,4,0,0,0
2,4,#2空调,#2空调设定温度,0,1,67,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,1,0,0,0,0,4,0,0,0
3,4,#3空调,#3空调设定温度,0,1,99,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,2,0,0,0,0,4,0,0,0
4,4,#4空调,#4空调设定温度,0,1,131,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,3,0,0,0,0,4,0,0,0
5,4,#5空调,#5空调设定温度,0,1,163,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,4,0,0,0,0,64,0,0,0
6,4,#6空调,#6空调设定温度,0,1,195,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,5,0,0,0,0,128,0,0,0
7,4,#7空调,#7空调设定温度,0,1,227,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,6,0,0,0,0,4,0,0,0
8,4,#8空调,#8空调设定温度,0,1,259,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,7,0,0,0,0,4,0,0,0
9,4,#9空调,#9空调设定温度,0,1,291,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,8,0,0,0,0,4,0,0,0
10,4,#10空调,#10空调设定温度,0,1,323,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,9,0,0,0,0,4,0,0,0
11,4,#11空调,#11空调设定温度,0,1,355,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,10,0,0,0,0,4,0,0,0
12,4,#12空调,#12空调设定温度,0,1,387,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,11,0,0,0,0,4,0,0,0
13,4,#13空调,#13空调设定温度,0,1,419,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,12,0,0,0,0,4,0,0,0
14,4,#14空调,#14空调设定温度,0,1,451,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,13,0,0,0,0,4,0,0,0
15,4,#15空调,#15空调设定温度,0,1,483,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,14,0,0,0,0,4,0,0,0
16,4,#16空调,#16空调设定温度,0,1,515,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,15,0,0,0,0,4,0,0,0
17,4,#17空调,#17空调设定温度,0,1,547,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,16,0,0,0,0,4,0,0,0
18,4,#18空调,#18空调设定温度,0,1,579,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,17,0,0,0,0,4,0,0,0
19,4,#19空调,#19空调设定温度,0,1,611,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,18,0,0,0,0,4,0,0,0
20,4,#20空调,#20空调设定温度,0,1,643,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,19,0,0,0,0,4,0,0,0
21,4,#21空调,#21空调设定温度,0,1,675,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,20,0,0,0,0,4,0,0,0
22,4,#24空调,#24空调设定温度,0,1,771,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,21,0,0,0,0,4,0,0,0
23,4,#25空调,#25空调设定温度,0,1,803,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,22,0,0,0,0,4,0,0,0
24,4,#26空调,#26空调设定温度,0,1,835,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,23,0,0,0,0,4,0,0,0
25,4,#27空调,#27空调设定温度,0,1,867,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,24,0,0,0,0,4,0,0,0
26,4,#28空调,#28空调设定温度,0,1,899,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,25,0,0,0,0,4,0,0,0
27,4,#29空调,#29空调设定温度,0,1,931,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,26,0,0,0,0,4,0,0,0
28,4,#30空调,#30空调设定温度,0,1,963,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,27,0,0,0,0,4,0,0,0
29,4,#31空调,#31空调设定温度,0,1,995,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,28,0,0,0,0,4,0,0,0
30,4,#32空调,#32空调设定温度,0,1,1027,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,29,0,0,0,0,4,0,0,0
31,4,#33空调,#33空调设定温度,0,1,1059,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,30,0,0,0,0,4,0,0,0
32,4,#34空调,#34空调设定温度,0,1,1091,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,31,0,0,0,0,4,0,0,0
33,4,#35空调,#35空调设定温度,0,1,1123,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,32,0,0,0,0,4,0,0,0
34,4,#36空调,#36空调设定温度,0,1,1155,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,33,0,0,0,0,4,0,0,0
35,4,#37空调,#37空调设定温度,0,1,1187,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,34,0,0,0,0,4,0,0,0
36,4,#38空调,#38空调设定温度,0,1,1219,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,35,0,0,0,0,4,0,0,0
37,4,#39空调,#39空调设定温度,0,1,1251,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,36,0,0,0,0,4,0,0,0
38,4,#40空调,#40空调设定温度,0,1,1283,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,37,0,0,0,0,4,0,0,0
39,4,#41空调,#41空调设定温度,0,1,1315,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,38,0,0,0,0,4,0,0,0
40,4,#42空调,#42空调设定温度,0,1,1347,0-0-0 0:0:0,2015-7-18 15:16:7,1,0,39,0,0,0,0,4,0,0,0
