ID32,strName,iStatus,fValQ,fDisQ,tExecTime,iChannelStatus,iUpLock,iDownLock,iFlag,iEnabled,fRatingQ,fAdMaxLimit,fAdMinLimit,fAdZone,iChannelID,iDevice,iYtNo,fFactor,iGroup,iType,iPriority,tSnapTime,iAdTimesMax,iStatusDigitID,iChannelDigitID,iQAlgID,iUpValAlgID,iDisQAlgID,fUpVal,iQuality,fValCos,iCosAlgID
1,#1-A逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25090,20,1,1,1,2016-2-19 17:19:53,1,121,5,143,0,222,0.000000,0,,
2,#1-B逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25092,20,1,1,1,2016-2-19 17:19:53,1,122,5,146,0,224,0.000000,0,,
3,#2-A逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25094,20,1,1,1,2016-2-19 17:19:53,1,123,5,149,0,226,0.000000,0,,
4,#2-B逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25096,20,1,1,1,2016-2-19 17:19:53,1,124,5,152,0,228,0.000000,0,,
5,#3-A逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25098,20,1,1,1,2016-2-19 17:19:53,1,125,5,155,0,230,0.000000,0,,
6,#3-B逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25100,20,1,1,1,2016-2-19 17:19:53,1,126,5,158,0,232,0.000000,0,,
7,#4-A逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25102,20,1,1,1,2016-2-19 17:19:53,1,127,5,161,0,234,0.000000,0,,
8,#4-B逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25104,20,1,1,1,2016-2-19 17:19:53,1,128,5,164,0,236,0.000000,0,,
9,#5-A逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25106,20,1,1,1,2016-2-19 17:19:53,1,129,5,167,0,238,0.000000,0,,
10,#5-B逆变器无功目标,1,0.000000,0.000000,0-0-0 0:0:0,1,0,0,0,1,225,225,-225,1.000000,5,1,25108,20,1,1,1,2016-2-19 17:19:53,1,130,5,170,0,240,0.000000,0,,

