ID32,uTuID,strID,strName,lDPUID,iNoInDPU,iVal,tSnapTime,iQuality,iIndex,iType,iRaw,FormulaID32,iZfID,lFlag,iDataType,iLastTime,iOpenSum,iCloseSum,iAlmClass,lDynaFlag,dvtype,dvno
1,1,I11XXSS_DI1,通道状态-虚拟通道,1,0,1,2015-7-18 15:16:19,0,1,,1,0,0,3,0,0,0,0,5,288,0,0
2,1,I11XXSS_DI2,通道状态-采集徐官屯通讯管理机,1,0,1,2015-7-18 15:16:19,0,2,,0,0,0,3,0,0,0,0,5,288,0,0
3,1,I11XXSS_DI3,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,3,,0,0,0,3,0,0,0,0,5,288,0,0
4,1,I11XXSS_DI4,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,4,,0,0,0,3,0,0,0,0,5,288,0,0
5,1,I11XXSS_DI5,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,5,,0,0,0,3,0,0,0,0,5,288,0,0
6,1,I11XXSS_DI6,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,6,,0,0,0,3,0,0,0,0,5,288,0,0
7,1,I11XXSS_DI7,通道状态-备用,1,0,0,2015-7-18 15:16:19,0,7,,1,0,0,3,0,0,0,0,5,288,0,0
8,1,I11XXSS_DI8,通道状态-备用,1,0,0,2015-7-18 15:16:19,0,8,,0,0,0,3,0,0,0,0,5,288,0,0
9,1,I11XXSS_DI9,通道状态-备用,1,0,0,2015-7-18 15:16:19,0,9,,0,0,0,3,0,0,0,0,5,288,0,0
10,1,I11XXSS_DI10,通道状态-备用,1,0,0,2015-7-18 15:16:19,0,10,,1,0,0,3,0,0,0,0,5,288,0,0
11,1,I11XXSS_DI11,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,11,,1,0,0,3,0,0,0,0,5,288,0,0
12,1,I11XXSS_DI12,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,12,,0,0,0,3,0,0,0,0,5,288,0,0
13,1,I11XXSS_DI13,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,13,,0,0,0,3,0,0,0,0,5,288,0,0
14,1,I11XXSS_DI14,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,14,,0,0,0,3,0,0,0,0,5,288,0,0
15,1,I11XXSS_DI15,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,15,,0,0,0,3,0,0,0,0,5,288,0,0
16,1,I11XXSS_DI16,通道状态-备用,1,0,1,2015-7-18 15:16:19,0,16,,1,0,0,3,0,0,0,0,5,288,0,0
17,1,I11XXSS_DI17,通道状态-备用,1,0,0,2015-7-16 17:23:30,0,17,,1,0,0,3,0,0,0,0,5,288,0,0
18,1,I11XXSS_DI18,通道状态-备用,1,0,1,2015-7-16 12:55:9,0,18,,0,0,0,3,0,0,0,0,5,288,0,0
19,1,I11XXSS_DI19,通道状态-备用,1,0,1,2015-7-16 17:23:20,0,19,,1,0,0,3,0,0,0,0,5,288,0,0
20,1,I11XXSS_DI20,通道状态-备用,1,0,0,2015-7-16 12:55:9,0,20,,1,0,0,3,0,0,0,0,5,288,0,0
21,1,I11XXSS_DI21,备用,1,0,1,2015-7-16 13:51:4,0,21,,1,0,0,3,0,0,0,0,5,288,0,0
22,1,I11XXSS_DI22,AGC遥信定义-AGC投入信号,1,0,1,2015-7-16 12:55:3,0,22,,1,0,0,3,0,0,0,0,5,288,0,0
